Country Code,Country Name,Year,GDP Growth,Investment,Productivity Growth,Potential_Outlier
BLR,Belarus,2002,5.04526758311702,22.1768515932559,5.9,False
BLR,Belarus,2003,7.04319246586394,24.9543276593883,8.01,False
BLR,Belarus,2004,11.4497432088167,28.6673014374357,12.01,True
BLR,Belarus,2005,9.40000151584914,28.4604661956657,7.21,False
BLR,Belarus,2006,9.99999473022963,32.1841371566982,8.63,True
BLR,Belarus,2007,8.60000659811426,34.0919031794272,7.45,False
BLR,Belarus,2008,10.1999994860937,37.6416510261128,8.0,True
BLR,Belarus,2009,0.199995231733979,36.8640444559238,-0.54,True
BLR,Belarus,2010,7.75001707500896,40.6563662623236,6.45,True
BLR,Belarus,2011,5.54997471638077,37.2175950788459,5.64,True
BLR,Belarus,2012,1.70785253368828,35.0942730563184,3.43,False
BLR,Belarus,2013,0.998719299661161,38.7980262073973,1.76,True
BLR,Belarus,2014,1.65112470228097,34.8410329356421,2.36,False
BLR,Belarus,2015,-3.82957056812593,29.0346959914608,-2.68,False
BLR,Belarus,2016,-2.5264464460425,26.4775827022928,-0.53,False
BLR,Belarus,2017,2.53218349471909,28.0303589091824,3.8,False
BLR,Belarus,2018,3.14919758275296,28.0788785453202,3.46,False
BEL,Belgium,2000,3.71670510672588,23.7829613022103,1.67,False
BEL,Belgium,2001,1.09960362419645,22.6338254993949,-0.27,False
BEL,Belgium,2002,1.70689430349601,20.7474019774138,1.9,False
BEL,Belgium,2003,1.03795518162204,20.9647077064668,1.12,False
BEL,Belgium,2004,3.57120671942319,22.6670601715452,2.56,False
BEL,Belgium,2005,2.32173792911834,23.6810632000764,0.87,False
BEL,Belgium,2006,2.55234087322462,23.9705491132595,1.42,False
BEL,Belgium,2007,3.67692462515802,24.6032741505197,1.99,False
BEL,Belgium,2008,0.446905130727231,25.9367703303917,-1.34,False
BEL,Belgium,2009,-1.90644105515335,22.0264057475968,-1.86,False
BEL,Belgium,2010,2.71031150254662,22.3942744569467,2.21,False
BEL,Belgium,2011,1.93115502411325,24.4795580355563,0.32,False
BEL,Belgium,2012,0.215803612089744,23.5882360674433,0.3,False
BEL,Belgium,2013,0.305494549070232,22.7089453730117,0.79,False
BEL,Belgium,2014,1.76554038149924,23.2582959776352,1.14,False
BEL,Belgium,2015,1.47416433731927,23.3223676294346,1.13,False
BEL,Belgium,2016,1.19350273007754,24.1815766017974,0.23,False
BEL,Belgium,2017,1.47446761556785,24.3318331321638,0.57,False
BEL,Belgium,2018,1.87796847383565,25.5515767637203,0.22,False
BIH,Bosnia and Herzegovina,2000,5.41431598814764,30.3063848486067,6.47,False
BIH,Bosnia and Herzegovina,2001,2.42331312996704,31.5798435626332,5.47,False
BIH,Bosnia and Herzegovina,2002,5.027444647203,31.4743870270505,6.39,False
BIH,Bosnia and Herzegovina,2003,3.86713552011777,30.2984402640792,4.49,False
BIH,Bosnia and Herzegovina,2004,6.32526794858342,30.5199983473086,6.7,False
BIH,Bosnia and Herzegovina,2005,3.89718320544974,29.4542245809708,8.66,True
BIH,Bosnia and Herzegovina,2006,5.41400299607282,25.812454778118,6.02,False
BIH,Bosnia and Herzegovina,2007,5.85911689412598,30.4691927596175,1.0,False
BIH,Bosnia and Herzegovina,2008,5.44184730165964,32.3119832270202,0.69,False
BIH,Bosnia and Herzegovina,2009,-3.0044555389081,23.713209921992,0.5,False
BIH,Bosnia and Herzegovina,2010,0.865667236280544,21.9146685888149,2.68,False
BIH,Bosnia and Herzegovina,2011,0.959511709726897,22.6759067100927,4.25,False
BIH,Bosnia and Herzegovina,2012,-0.821837252962993,22.8835705606596,-0.46,False
BIH,Bosnia and Herzegovina,2013,2.34985873172397,21.6685850406414,1.35,False
BIH,Bosnia and Herzegovina,2014,1.15384793371298,23.0340139751835,2.39,False
BIH,Bosnia and Herzegovina,2015,4.28413016137854,22.1698345771577,1.83,False
BIH,Bosnia and Herzegovina,2016,3.24225822231566,23.3303836437325,5.85,False
BIH,Bosnia and Herzegovina,2017,3.24409895306594,25.1642904731319,0.25,False
BIH,Bosnia and Herzegovina,2018,3.82900399349064,24.8120206694305,1.02,False
BGR,Bulgaria,2000,4.58722553234129,19.0461421311854,7.32,False
BGR,Bulgaria,2001,3.82370222571771,21.3510606825964,4.56,False
BGR,Bulgaria,2002,5.87193134676191,20.529013802931,5.69,False
BGR,Bulgaria,2003,5.23715282493174,22.0741671260247,2.14,False
BGR,Bulgaria,2004,6.5104241389717,23.4333545983608,3.75,False
BGR,Bulgaria,2005,7.05634916258309,27.7396801127277,4.31,False
BGR,Bulgaria,2006,6.80259262432862,32.0563311507493,3.42,False
BGR,Bulgaria,2007,6.65438512368812,33.606222556895,4.04,False
BGR,Bulgaria,2008,6.12955885899744,36.9245307045696,3.58,True
BGR,Bulgaria,2009,-3.34714308501542,28.5382141833642,-1.91,False
BGR,Bulgaria,2010,1.55536266288017,22.5179653399321,5.41,False
BGR,Bulgaria,2011,2.09017598337418,21.3581940338909,4.21,False
BGR,Bulgaria,2012,0.748814556346105,21.8870795265983,2.6,False
BGR,Bulgaria,2013,-0.542753400392826,21.0060147414226,0.93,False
BGR,Bulgaria,2014,0.949449772002041,21.5078429076067,1.46,False
BGR,Bulgaria,2015,3.39755351999294,20.999927047816,3.11,False
BGR,Bulgaria,2016,3.02662820096305,18.9624308573589,3.42,False
BGR,Bulgaria,2017,2.74592737750996,19.8169934625584,1.99,False
BGR,Bulgaria,2018,2.33015054210419,21.1661567293564,3.19,False
HRV,Croatia,2000,2.94765913375998,19.3198414354267,3.39,False
HRV,Croatia,2001,3.11089328552634,20.5000776518093,4.02,False
HRV,Croatia,2002,5.80141595577015,23.7622362794643,4.21,False
HRV,Croatia,2003,5.56842901730823,27.2298359919119,3.08,False
HRV,Croatia,2004,4.17049297825163,26.025034935926,3.29,False
HRV,Croatia,2005,4.32819454299167,26.0799867333683,3.26,False
HRV,Croatia,2006,5.06986521577841,28.0931881488985,1.79,False
HRV,Croatia,2007,5.04884076732965,28.1517266885488,2.04,False
HRV,Croatia,2008,1.97176786914632,29.5499946300075,-0.37,False
HRV,Croatia,2009,-6.81168973851901,24.3749580320971,-6.66,True
HRV,Croatia,2010,-1.33616285467264,20.3682057276447,2.36,False
HRV,Croatia,2011,-0.111527124990047,18.9999778658226,3.68,False
HRV,Croatia,2012,-2.23702049605232,18.0237101203367,1.42,False
HRV,Croatia,2013,-0.132561080066893,18.7253117926413,2.14,False
HRV,Croatia,2014,-0.559537666687092,18.0574128554872,-2.7,False
HRV,Croatia,2015,2.32056679330526,19.4796153678806,1.18,False
HRV,Croatia,2016,3.46613146011039,19.8965647731573,3.19,False
HRV,Croatia,2017,3.2840626939789,20.839700796268,0.92,False
HRV,Croatia,2018,2.91107146210912,22.4888446291438,0.3,False
CYP,Cyprus,2000,5.96530445494226,20.4291577976899,4.24,False
CYP,Cyprus,2001,3.95256258200938,17.7345535252016,1.75,False
CYP,Cyprus,2002,3.72297491128981,20.2817486986233,1.6,False
CYP,Cyprus,2003,2.62329962315329,19.49832670211,-0.94,False
CYP,Cyprus,2004,5.02627226665527,21.8649074462916,1.01,False
CYP,Cyprus,2005,4.85298762175586,22.2094374377754,1.18,False
CYP,Cyprus,2006,4.71378358593959,24.3137543872675,2.81,False
CYP,Cyprus,2007,5.09822614854798,24.0710075269171,0.64,False
CYP,Cyprus,2008,3.64698922103939,28.6449330178426,0.12,False
CYP,Cyprus,2009,-2.01508203683694,22.5317717896077,-2.05,False
CYP,Cyprus,2010,2.28267100119788,23.6867268786643,1.53,False
CYP,Cyprus,2011,0.416711868408683,18.5481211774998,0.38,False
CYP,Cyprus,2012,-3.44738151374587,15.8177899862593,-0.27,False
CYP,Cyprus,2013,-6.58747751118347,12.5650583420074,-0.65,True
CYP,Cyprus,2014,-1.77605867728616,13.1877395604674,-0.05,False
CYP,Cyprus,2015,3.41892038889013,13.3226795380088,1.84,False
CYP,Cyprus,2016,6.57359080924678,17.0541463112928,2.09,False
CYP,Cyprus,2017,5.75083236554525,20.3824581997576,0.06,False
CYP,Cyprus,2018,6.27166360056404,18.9431273490169,0.03,False
CZE,Czechia,2000,4.010669619984,31.8350210442972,5.13,False
CZE,Czechia,2001,2.9172195289956,32.0060318555442,3.18,False
CZE,Czechia,2002,1.51345949139996,30.4816181826653,1.02,False
CZE,Czechia,2003,3.300836832613,29.5495865624593,4.43,False
CZE,Czechia,2004,4.73633969683438,29.8242716361965,5.11,False
CZE,Czechia,2005,6.37502886086791,29.2856028582089,4.5,False
CZE,Czechia,2006,6.62317299177447,30.0796940275085,5.43,False
CZE,Czechia,2007,5.48882595164517,32.1072107272958,3.44,False
CZE,Czechia,2008,2.61226807205139,30.9994095449633,0.49,False
CZE,Czechia,2009,-4.79832416684926,26.3978882297703,-3.05,True
CZE,Czechia,2010,2.71466509907701,26.7312876523202,3.34,False
CZE,Czechia,2011,1.77238085338473,26.6053370220652,2.06,False
CZE,Czechia,2012,-0.770668190622743,25.6688421143623,-1.21,False
CZE,Czechia,2013,-0.0418124160447491,24.3768606031502,-0.8,False
CZE,Czechia,2014,2.24521219862635,25.3494353917128,2.15,False
CZE,Czechia,2015,4.95875848915604,26.9686249210792,3.83,False
CZE,Czechia,2016,2.58087013921376,25.0750046974725,0.85,False
CZE,Czechia,2017,5.17356529967881,25.0897410946251,2.76,False
CZE,Czechia,2018,2.83030588267866,25.6426079021172,1.37,False
DNK,Denmark,2000,3.72400899471576,22.2944061771116,2.98,False
DNK,Denmark,2001,0.95003224600012,21.7493884508849,-0.17,False
DNK,Denmark,2002,0.456530018779986,21.256815503883,0.4,False
DNK,Denmark,2003,0.441091006625101,20.885998901756,1.32,False
DNK,Denmark,2004,2.77635180744053,21.6460819600503,3.21,False
DNK,Denmark,2005,2.35960882992528,22.1713094338111,0.9,False
DNK,Denmark,2006,3.81648769908172,24.2627515456151,1.62,False
DNK,Denmark,2007,0.987173815945127,25.231367727118,-1.39,False
DNK,Denmark,2008,-0.417178439991005,24.0357328016323,-1.68,False
DNK,Denmark,2009,-4.97447905669058,19.0326255602397,-1.82,True
DNK,Denmark,2010,1.58289703108802,17.8221551141916,4.3,False
DNK,Denmark,2011,1.3108037609606,18.9874945831856,1.38,False
DNK,Denmark,2012,-0.0054323016167074,19.2269717517509,0.94,False
DNK,Denmark,2013,1.39267343161971,19.3525146403367,0.95,False
DNK,Denmark,2014,1.27799983192831,20.1482030437865,0.74,False
DNK,Denmark,2015,2.10441456445301,20.5435311718122,0.95,False
DNK,Denmark,2016,3.07304549209093,21.680712423112,1.72,False
DNK,Denmark,2017,3.05647723922718,21.9568242214893,0.37,False
DNK,Denmark,2018,1.8600074900921,22.5323146804877,0.58,False
