Country Name,Country Code,Year,GDP Growth,Investment,Education Expenditure,Productivity Growth
France,FRA,1982,2.44251268690125,24.1767124016057,4.90847015380859,2.24
France,FRA,1983,1.26205761797051,22.0241491997679,4.9094500541687,1.35
France,FRA,1984,1.60947146551595,21.4105351250654,4.91992998123169,2.04
France,FRA,1985,1.56907436604108,21.2723789337356,4.90402984619141,1.84
France,FRA,1986,2.38953554470334,21.8089701080998,4.74810981750488,1.84
France,FRA,1987,2.55274621143047,22.3120902538891,4.66263008117676,1.66
France,FRA,1988,4.81422400170246,23.3652340051982,4.58078002929688,3.73
France,FRA,1989,4.40516927190527,24.2752053199391,4.49351978302002,2.56
France,FRA,1990,2.82962715326478,24.4166717434176,4.55534982681274,2.0
France,FRA,1991,1.23666248297356,23.5809030570734,4.88098001480103,0.82
France,FRA,1992,1.5160611169627,21.8057009887396,4.77559995651245,2.24
France,FRA,1993,-0.35899781051468,19.2950345538123,5.46441984176636,0.41
France,FRA,1994,2.38366086110145,20.0277093753549,5.65956020355225,1.85
France,FRA,1995,2.30479278392259,20.1870996465323,5.8120698928833,1.1
France,FRA,1996,1.39707987198881,19.2219851950366,5.78116989135742,0.84
France,FRA,1997,2.5270616339357,18.8941086598021,,1.55
France,FRA,1998,3.45259434279616,20.1267071009099,5.71147012710571,1.81
France,FRA,1999,3.39930808809441,20.7309977149378,,0.99
France,FRA,2000,4.14099996402915,21.8578770673408,,1.35
France,FRA,2001,1.89946701186636,21.5146500727515,,0.54
France,FRA,2002,1.06775027069419,20.7001905304491,,0.64
France,FRA,2003,0.967827182558352,20.6506168230936,,0.8
France,FRA,2004,2.86825052501032,21.3643685480586,,2.69
France,FRA,2005,1.88856584109286,21.9113534781153,,0.97
France,FRA,2006,2.71406448755236,22.6851885959248,,1.35
France,FRA,2007,2.53048188351066,23.5691050042771,,0.96
France,FRA,2008,0.380171435849121,23.4671040402669,,-0.25
France,FRA,2009,-2.82455153714783,20.7177586249113,,-1.75
France,FRA,2010,2.00032476039051,21.3378695020042,,1.85
France,FRA,2011,2.43757653729007,22.4996452716579,,1.43
France,FRA,2012,0.183835264973013,21.8295648772748,,-0.03
France,FRA,2013,0.781756446231,21.520441960601,,0.39
France,FRA,2014,0.997832947295251,21.8364708236132,,0.42
France,FRA,2015,1.06675474783462,21.7165418613305,,0.9
France,FRA,2016,0.860031075424033,21.5978606152326,,0.38
France,FRA,2017,2.08361485997399,22.1813991959176,5.46482992172241,1.18
France,FRA,2018,1.64590872395887,22.6115738942638,5.42540979385376,0.67
Germany,DEU,1960,,,,
Germany,DEU,1961,4.29843950975808,,,
Germany,DEU,1962,4.6234710102125,,,
Germany,DEU,1963,2.73529643602564,,,
Germany,DEU,1964,6.63946989651858,,,
Germany,DEU,1965,5.24416402432635,,,
Germany,DEU,1966,2.81218130587229,,,
Germany,DEU,1967,-0.330256452713016,,,
Germany,DEU,1968,5.66877310370654,,,
Germany,DEU,1969,7.41810273162662,,,
Germany,DEU,1970,5.10314457629295,33.278578878368,,
Germany,DEU,1971,3.13269976979846,32.3681640596784,,
Germany,DEU,1972,4.30034129247663,31.1280852111878,,
Germany,DEU,1973,4.77748690945469,29.7922667513098,,
Germany,DEU,1974,0.890068699312494,26.9195238369104,,
Germany,DEU,1975,-0.866738936529003,24.8513625806296,,
Germany,DEU,1976,4.94925843456397,26.0102985328885,,
Germany,DEU,1977,3.34721808033223,25.6388605733496,,
Germany,DEU,1978,3.00849288842491,25.945488052697,,
Germany,DEU,1979,4.15036333786591,27.9105352714841,,
Germany,DEU,1980,1.40882864441943,27.6833281172969,,0.13
Germany,DEU,1981,0.529240541969116,25.0382510127874,,0.39
Germany,DEU,1982,-0.394840735634787,23.5575871456212,,0.27
Germany,DEU,1983,1.57241014192158,24.3596147519764,,2.39
Germany,DEU,1984,2.82294783585535,24.1181342897383,,2.53
Germany,DEU,1985,2.32793520067574,23.52124534138,,1.64
Germany,DEU,1986,2.28733925852798,23.5417801621924,,1.24
Germany,DEU,1987,1.4021515883601,22.9393947401981,,0.79
Germany,DEU,1988,3.70723567991882,23.6839289330579,,3.04
Germany,DEU,1989,3.89655170553733,24.6749419871737,,2.94
Germany,DEU,1990,5.25500610110028,25.2643366002088,,5.55
Germany,DEU,1991,5.10826150190911,26.2249546057137,,7.38
Germany,DEU,1992,2.01361340926105,25.6374386656452,,3.28
Germany,DEU,1993,-0.973033082340891,24.1533795395313,4.39173984527588,0.32
Germany,DEU,1994,2.59685569693275,24.5513106495033,4.31664991378784,2.37
Germany,DEU,1995,1.50499384201356,24.4770596811461,4.41835021972656,1.11
Germany,DEU,1996,1.0378755674358,23.460405691293,4.47798013687134,0.79
Germany,DEU,1997,1.85432238398302,23.4050264846125,,1.84
Germany,DEU,1998,2.09561231172233,24.0608017564073,4.44445991516113,0.8
Germany,DEU,1999,2.12957016297766,23.7583524291849,,0.26
Germany,DEU,2000,2.8765231247659,23.9639660790924,,0.61
Germany,DEU,2001,1.63614170690956,22.7645716524028,,1.97
Germany,DEU,2002,-0.228255715793637,20.151752302821,,0.25
Germany,DEU,2003,-0.529801394291297,19.5766263092364,,0.38
Germany,DEU,2004,1.16208684507278,19.0213864564072,,0.84
Germany,DEU,2005,0.885485292551564,18.7355259254163,,0.75
Germany,DEU,2006,3.86668241523209,19.897946566207,,3.01
Germany,DEU,2007,2.8891174138025,20.7873433455798,,1.22
Germany,DEU,2008,0.887902330743628,20.8867329914107,4.47337007522583,-0.35
Germany,DEU,2009,-5.54455451920674,18.0064315128089,,-5.78
Germany,DEU,2010,4.13463778522758,19.5310600093299,4.99525022506714,3.85
Germany,DEU,2011,3.75796884489337,21.2669872693317,4.88583993911743,2.53
