Country Code,Country Name,Year,GDP Growth,Investment,Education Expenditure,Productivity Growth
IRL,Ireland,2017,10.1088576065965,34.0348773847935,3.37737011909485,5.13
IRL,Ireland,2018,7.68865937437435,28.1743871487953,3.30347990989685,4.5
ITA,Italy,2000,3.88209885062652,21.3236101039876,4.27996015548706,1.8
ITA,Italy,2001,2.00643329837733,21.3054469235642,4.63416004180908,-0.01
ITA,Italy,2002,0.26992966378873,22.0519500121835,4.41520977020264,-1.4
ITA,Italy,2003,0.0665538088732092,21.5802501954429,4.52654981613159,-1.31
ITA,Italy,2004,1.4740217064723,21.6420048852847,4.37002992630005,0.81
ITA,Italy,2005,0.762410677306491,21.5260216463093,4.22292995452881,0.26
ITA,Italy,2006,1.79947992234244,22.3603695757618,4.50464010238647,-0.18
ITA,Italy,2007,1.46229205289291,22.6200727686655,4.08763980865479,0.24
ITA,Italy,2008,-1.02313851177097,22.0387757321995,4.37188005447388,-1.17
ITA,Italy,2009,-5.30515401233991,19.7023773902113,4.50414991378784,-3.67
ITA,Italy,2010,1.52910573247101,20.7969716146664,4.31626987457275,2.37
ITA,Italy,2011,0.695463154440176,20.6773631014391,4.09431982040405,0.4
ITA,Italy,2012,-3.12523877282996,17.9698064515339,4.03481006622315,-2.68
ITA,Italy,2013,-1.81802510749792,17.0062223799047,4.12192010879517,-0.06
ITA,Italy,2014,-0.0013876173045446,17.0766736026264,4.04026985168457,-0.07
ITA,Italy,2015,0.885667635240807,17.2813174853484,4.05422019958496,0.13
ITA,Italy,2016,1.23622108511661,17.7118639941996,3.795490026474,-0.06
ITA,Italy,2017,1.60369995294101,18.1694222906025,4.02662992477417,0.54
ITA,Italy,2018,0.826646712344115,18.6608716078644,4.24094009399414,-0.1
LVA,Latvia,2000,5.84102642353959,24.9631641629445,5.40854978561401,9.28
LVA,Latvia,2001,6.46057826727287,28.3001992418424,5.56101989746094,4.62
LVA,Latvia,2002,7.66548778586991,28.6201729296497,5.78911018371582,5.58
LVA,Latvia,2003,8.42913257059108,31.0011264637384,5.2944598197937,7.76
LVA,Latvia,2004,8.72514341727928,34.368915450929,5.04684019088745,8.08
LVA,Latvia,2006,12.825017846905,41.8198632239093,4.94490003585815,5.8
LVA,Latvia,2007,10.4145372792714,43.6658757384645,4.89059019088745,5.97
LVA,Latvia,2008,-3.38871665849958,36.9756564896607,5.63671016693115,-2.52
LVA,Latvia,2009,-16.0400195313042,23.2112323411887,5.67728996276855,0.12
LVA,Latvia,2010,-3.66125859554762,20.9313394628785,5.14355993270874,2.35
LVA,Latvia,2011,3.03634482668815,26.7745639280943,5.24315977096558,4.71
LVA,Latvia,2012,7.30524057200897,28.639673212023,6.83852005004883,2.65
LVA,Latvia,2013,2.09609028156248,25.298238178176,7.24962997436523,0.02
LVA,Latvia,2014,2.0949597710559,24.6659431197334,5.47479009628296,3.31
LVA,Latvia,2015,3.78336712084972,24.149732505911,5.46670007705688,1.82
LVA,Latvia,2016,2.55168601974034,21.7559480147378,4.82350015640259,2.08
LVA,Latvia,2017,3.39894872623931,22.7120380081921,4.52905988693237,3.82
LVA,Latvia,2018,4.30971286294503,23.8742877736126,4.39430999755859,2.97
LTU,Lithuania,2001,6.48412665187908,19.3746140196783,5.83644008636475,10.73
LTU,Lithuania,2002,6.71983945103626,21.064433775953,5.79093980789185,3.03
LTU,Lithuania,2003,10.5518959629574,22.2317698184889,5.1067099571228,8.13
LTU,Lithuania,2004,6.50203536075556,23.4409316851452,5.14797019958496,7.73
LTU,Lithuania,2005,7.7314467577492,24.4085431146972,4.87698984146118,6.92
LTU,Lithuania,2006,7.39548122468629,26.8802630577834,4.83653020858765,7.74
LTU,Lithuania,2007,11.0779282578673,32.4396749969277,4.59159994125366,8.87
LTU,Lithuania,2008,2.59946154605602,28.2461520781263,4.83649015426636,4.0
LTU,Lithuania,2009,-14.8386117894848,12.9798453346191,5.56941986083984,-7.72
LTU,Lithuania,2010,0.427199566550769,17.8578010235461,5.36880016326904,7.16
